Date,Age,Tm,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2023-01-20,24-192,OKC,SAC,L (-5),37:30,16,23,.696,2,3,.667,3,4,.750,1,0,1,7,2,0,0,0,37,-10
2023-01-22,24-194,OKC,DEN,W (+2),37:22,13,21,.619,1,2,.500,7,8,.875,0,5,5,5,0,2,1,2,34,+5
2023-01-25,24-197,OKC,ATL,L (-5),36:29,13,22,.591,1,1,1.000,9,10,.900,2,3,5,7,2,2,4,3,36,+9
2023-01-27,24-199,OKC,CLE,W (+12),35:09,12,21,.571,1,1,1.000,10,11,.909,2,3,5,8,2,1,0,2,35,+14
2023-01-30,24-202,OKC,GSW,L (-8),36:31,10,24,.417,1,2,.500,10,10,1.000,0,4,4,7,0,3,5,3,31,-15
2023-02-01,24-204,OKC,HOU,L (-6),34:01,7,23,.304,0,3,.000,10,10,1.000,5,3,8,4,3,0,1,5,24,-7
2023-02-04,24-207,OKC,HOU,W (+32),30:20,14,23,.609,0,2,.000,14,15,.933,0,4,4,6,3,2,0,3,42,+38
2023-02-06,24-209,OKC,GSW,L (-27),29:09,6,16,.375,0,1,.000,8,8,1.000,0,0,0,4,0,0,0,3,20,-17
2023-02-07,24-210,OKC,LAL,W (+3),37:41,9,17,.529,1,1,1.000,11,12,.917,0,2,2,8,2,0,4,5,30,-2
2023-02-10,24-213,OKC,POR,W (+9),39:20,13,16,.813,0,1,.000,18,19,.947,0,3,3,7,2,1,4,1,44,+22
2023-02-13,24-216,OKC,NOP,L (-3),38:58,8,21,.381,0,2,.000,8,9,.889,3,7,10,5,1,0,6,4,24,+9
2023-02-15,24-218,OKC,HOU,W (+37),29:03,8,16,.500,0,2,.000,13,15,.867,0,2,2,6,0,2,1,3,29,+27
2023-02-23,24-226,OKC,UTA,L (-1),40:52,12,26,.462,0,2,.000,15,19,.789,2,6,8,7,2,1,2,2,39,0
2023-02-24,24-227,OKC,PHO,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-02-26,24-229,OKC,SAC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-02-28,24-231,OKC,SAC,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-01,24-232,OKC,LAL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-03,24-234,OKC,UTA,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-05,24-236,OKC,UTA,W (+10),36:56,10,17,.588,1,2,.500,17,19,.895,2,5,7,4,3,1,4,4,38,+5
2023-03-07,24-238,OKC,GSW,W (+9),36:05,14,24,.583,2,5,.400,3,4,.750,0,3,3,6,2,0,4,4,33,-10
